[env] host=stud-000 date=Fri Nov 21 09:51:44 CET 2025
[env] RUN_DIR=/home/canelo/uncertainty_quantification/outputs/trainings/training_prune2_new_ds_base_point_20251120-1706/point_300_epochs_200ep_s1_20251121-095142
[model] in_dim=4772 hidden=[512, 512, 256] head=point params=2,840,577
[train] host=stud-000 device=cuda head=point epochs=300
[epoch 64] train_loss=1644.1046 val_loss=2576.0252 val_mae_orig=2574.1895 obj(val_mae_orig)=2574.1895
[epoch 65] train_loss=1640.6280 val_loss=2555.7750 val_mae_orig=2553.7085 obj(val_mae_orig)=2553.7085
[epoch 66] train_loss=1637.0700 val_loss=2659.2134 val_mae_orig=2657.1655 obj(val_mae_orig)=2657.1655
[epoch 67] train_loss=1631.5159 val_loss=2584.4209 val_mae_orig=2581.7688 obj(val_mae_orig)=2581.7688
[epoch 68] train_loss=1622.0244 val_loss=2589.5066 val_mae_orig=2587.2720 obj(val_mae_orig)=2587.2720
[epoch 69] train_loss=1620.6788 val_loss=2558.7045 val_mae_orig=2556.0740 obj(val_mae_orig)=2556.0740
[epoch 70] train_loss=1617.2028 val_loss=2560.0137 val_mae_orig=2557.7822 obj(val_mae_orig)=2557.7822
[epoch 71] train_loss=1599.6335 val_loss=2600.2911 val_mae_orig=2598.1748 obj(val_mae_orig)=2598.1748
[epoch 72] train_loss=1603.0782 val_loss=2538.8645 val_mae_orig=2536.8147 obj(val_mae_orig)=2536.8147
[epoch 73] train_loss=1603.0875 val_loss=2565.2636 val_mae_orig=2563.2007 obj(val_mae_orig)=2563.2007
[epoch 74] train_loss=1595.4858 val_loss=2522.7799 val_mae_orig=2520.4392 obj(val_mae_orig)=2520.4392
[epoch 75] train_loss=1594.7921 val_loss=2624.7466 val_mae_orig=2622.9397 obj(val_mae_orig)=2622.9397
[epoch 76] train_loss=1588.7117 val_loss=2535.1920 val_mae_orig=2533.6006 obj(val_mae_orig)=2533.6006
[epoch 77] train_loss=1595.1089 val_loss=2537.2077 val_mae_orig=2535.0347 obj(val_mae_orig)=2535.0347
[epoch 78] train_loss=1579.1224 val_loss=2544.7182 val_mae_orig=2542.3193 obj(val_mae_orig)=2542.3193
[epoch 79] train_loss=1587.0250 val_loss=2521.7046 val_mae_orig=2520.0129 obj(val_mae_orig)=2520.0129
[epoch 80] train_loss=1586.0311 val_loss=2556.0548 val_mae_orig=2553.2295 obj(val_mae_orig)=2553.2295
[epoch 81] train_loss=1570.1771 val_loss=2549.5284 val_mae_orig=2547.1370 obj(val_mae_orig)=2547.1370
[epoch 82] train_loss=1571.9265 val_loss=2524.7594 val_mae_orig=2522.7876 obj(val_mae_orig)=2522.7876
[epoch 83] train_loss=1573.8052 val_loss=2518.0363 val_mae_orig=2515.6538 obj(val_mae_orig)=2515.6538
[epoch 84] train_loss=1568.0059 val_loss=2531.1403 val_mae_orig=2528.5918 obj(val_mae_orig)=2528.5918
[epoch 85] train_loss=1553.1029 val_loss=2547.4748 val_mae_orig=2545.2759 obj(val_mae_orig)=2545.2759
[epoch 86] train_loss=1563.3715 val_loss=2559.4463 val_mae_orig=2557.2585 obj(val_mae_orig)=2557.2585
[epoch 87] train_loss=1548.7850 val_loss=2530.8881 val_mae_orig=2528.5776 obj(val_mae_orig)=2528.5776
[epoch 88] train_loss=1555.8908 val_loss=2536.9763 val_mae_orig=2534.9590 obj(val_mae_orig)=2534.9590
[epoch 89] train_loss=1546.5058 val_loss=2538.9314 val_mae_orig=2537.0312 obj(val_mae_orig)=2537.0312
[epoch 90] train_loss=1545.4136 val_loss=2519.0310 val_mae_orig=2516.3540 obj(val_mae_orig)=2516.3540
[epoch 91] train_loss=1542.6806 val_loss=2530.7069 val_mae_orig=2528.0000 obj(val_mae_orig)=2528.0000
[epoch 92] train_loss=1539.6191 val_loss=2541.9777 val_mae_orig=2539.4729 obj(val_mae_orig)=2539.4729
[epoch 93] train_loss=1543.2470 val_loss=2559.2555 val_mae_orig=2557.1282 obj(val_mae_orig)=2557.1282
[epoch 94] train_loss=1550.2673 val_loss=2537.0752 val_mae_orig=2534.6040 obj(val_mae_orig)=2534.6040
[epoch 95] train_loss=1532.5816 val_loss=2532.5258 val_mae_orig=2530.3704 obj(val_mae_orig)=2530.3704
[epoch 96] train_loss=1530.6149 val_loss=2531.2885 val_mae_orig=2529.1111 obj(val_mae_orig)=2529.1111
[epoch 97] train_loss=1528.0231 val_loss=2516.4495 val_mae_orig=2514.1499 obj(val_mae_orig)=2514.1499
[epoch 98] train_loss=1518.6481 val_loss=2509.6422 val_mae_orig=2508.0723 obj(val_mae_orig)=2508.0723
[epoch 99] train_loss=1515.9229 val_loss=2522.8222 val_mae_orig=2520.0569 obj(val_mae_orig)=2520.0569
[epoch 100] train_loss=1527.6817 val_loss=2522.9422 val_mae_orig=2520.6887 obj(val_mae_orig)=2520.6887
[epoch 101] train_loss=1513.5553 val_loss=2527.5364 val_mae_orig=2525.2229 obj(val_mae_orig)=2525.2229
[epoch 102] train_loss=1525.3236 val_loss=2513.9174 val_mae_orig=2512.2043 obj(val_mae_orig)=2512.2043
[epoch 103] train_loss=1514.1490 val_loss=2515.4251 val_mae_orig=2513.4619 obj(val_mae_orig)=2513.4619
[epoch 104] train_loss=1513.1607 val_loss=2496.2075 val_mae_orig=2493.7988 obj(val_mae_orig)=2493.7988
[epoch 105] train_loss=1511.2648 val_loss=2537.5675 val_mae_orig=2534.9236 obj(val_mae_orig)=2534.9236
[epoch 106] train_loss=1504.2476 val_loss=2509.2147 val_mae_orig=2507.4578 obj(val_mae_orig)=2507.4578
[epoch 107] train_loss=1497.7444 val_loss=2500.4767 val_mae_orig=2498.0278 obj(val_mae_orig)=2498.0278
[epoch 108] train_loss=1505.6281 val_loss=2518.3906 val_mae_orig=2515.7527 obj(val_mae_orig)=2515.7527
[epoch 109] train_loss=1503.7323 val_loss=2512.2413 val_mae_orig=2509.8584 obj(val_mae_orig)=2509.8584
[epoch 110] train_loss=1498.9658 val_loss=2493.5557 val_mae_orig=2491.5039 obj(val_mae_orig)=2491.5039
[epoch 111] train_loss=1496.7572 val_loss=2540.9608 val_mae_orig=2538.4460 obj(val_mae_orig)=2538.4460
[epoch 112] train_loss=1495.6280 val_loss=2539.6971 val_mae_orig=2537.6243 obj(val_mae_orig)=2537.6243
[epoch 113] train_loss=1489.1380 val_loss=2520.5198 val_mae_orig=2517.9055 obj(val_mae_orig)=2517.9055
[epoch 114] train_loss=1484.5013 val_loss=2524.4283 val_mae_orig=2521.9260 obj(val_mae_orig)=2521.9260
[epoch 115] train_loss=1495.6649 val_loss=2522.7362 val_mae_orig=2520.1511 obj(val_mae_orig)=2520.1511
[epoch 116] train_loss=1482.3551 val_loss=2502.1830 val_mae_orig=2499.8213 obj(val_mae_orig)=2499.8213
[epoch 117] train_loss=1487.6174 val_loss=2501.5912 val_mae_orig=2499.4199 obj(val_mae_orig)=2499.4199
[epoch 118] train_loss=1487.9941 val_loss=2502.2234 val_mae_orig=2500.4348 obj(val_mae_orig)=2500.4348
[epoch 119] train_loss=1485.1971 val_loss=2543.7735 val_mae_orig=2542.1489 obj(val_mae_orig)=2542.1489
[epoch 120] train_loss=1469.1555 val_loss=2495.7087 val_mae_orig=2493.6853 obj(val_mae_orig)=2493.6853
[epoch 121] train_loss=1484.2194 val_loss=2523.8461 val_mae_orig=2522.1455 obj(val_mae_orig)=2522.1455
[epoch 122] train_loss=1478.5809 val_loss=2506.5374 val_mae_orig=2503.7908 obj(val_mae_orig)=2503.7908
[epoch 123] train_loss=1488.2370 val_loss=2515.7219 val_mae_orig=2513.3193 obj(val_mae_orig)=2513.3193
[epoch 124] train_loss=1468.2696 val_loss=2505.7747 val_mae_orig=2503.6147 obj(val_mae_orig)=2503.6147
[epoch 125] train_loss=1476.9431 val_loss=2490.2037 val_mae_orig=2488.5515 obj(val_mae_orig)=2488.5515
[epoch 126] train_loss=1468.5920 val_loss=2519.3614 val_mae_orig=2516.4395 obj(val_mae_orig)=2516.4395
[epoch 127] train_loss=1473.8461 val_loss=2546.7194 val_mae_orig=2544.2146 obj(val_mae_orig)=2544.2146
[epoch 128] train_loss=1473.4273 val_loss=2489.5828 val_mae_orig=2486.6943 obj(val_mae_orig)=2486.6943
[epoch 129] train_loss=1470.1929 val_loss=2494.5483 val_mae_orig=2492.1604 obj(val_mae_orig)=2492.1604
[epoch 130] train_loss=1468.4861 val_loss=2515.3167 val_mae_orig=2512.5044 obj(val_mae_orig)=2512.5044
[epoch 131] train_loss=1470.4574 val_loss=2500.1749 val_mae_orig=2497.9692 obj(val_mae_orig)=2497.9692
[epoch 132] train_loss=1463.2927 val_loss=2543.6113 val_mae_orig=2541.0518 obj(val_mae_orig)=2541.0518
[epoch 133] train_loss=1464.2067 val_loss=2529.4186 val_mae_orig=2526.7720 obj(val_mae_orig)=2526.7720
[epoch 134] train_loss=1469.7893 val_loss=2529.5317 val_mae_orig=2527.0725 obj(val_mae_orig)=2527.0725
[epoch 135] train_loss=1478.3094 val_loss=2487.7824 val_mae_orig=2485.1572 obj(val_mae_orig)=2485.1572
[epoch 136] train_loss=1459.4044 val_loss=2509.6122 val_mae_orig=2507.0740 obj(val_mae_orig)=2507.0740
[epoch 137] train_loss=1460.8653 val_loss=2490.4772 val_mae_orig=2487.7461 obj(val_mae_orig)=2487.7461
[epoch 138] train_loss=1454.5607 val_loss=2495.4877 val_mae_orig=2492.9932 obj(val_mae_orig)=2492.9932
[epoch 139] train_loss=1465.4364 val_loss=2497.1367 val_mae_orig=2494.4077 obj(val_mae_orig)=2494.4077
[epoch 140] train_loss=1462.2312 val_loss=2494.8778 val_mae_orig=2492.5835 obj(val_mae_orig)=2492.5835
[epoch 141] train_loss=1458.0581 val_loss=2514.8274 val_mae_orig=2512.3530 obj(val_mae_orig)=2512.3530
[epoch 142] train_loss=1456.7733 val_loss=2581.4018 val_mae_orig=2578.8093 obj(val_mae_orig)=2578.8093
[epoch 143] train_loss=1456.3791 val_loss=2504.8866 val_mae_orig=2502.1348 obj(val_mae_orig)=2502.1348
[epoch 144] train_loss=1442.6755 val_loss=2485.3816 val_mae_orig=2482.9888 obj(val_mae_orig)=2482.9888
[epoch 145] train_loss=1454.8947 val_loss=2517.2453 val_mae_orig=2514.6482 obj(val_mae_orig)=2514.6482
[epoch 146] train_loss=1457.4722 val_loss=2509.5948 val_mae_orig=2507.0679 obj(val_mae_orig)=2507.0679
[epoch 147] train_loss=1454.7124 val_loss=2506.1387 val_mae_orig=2503.4456 obj(val_mae_orig)=2503.4456
[epoch 148] train_loss=1444.9181 val_loss=2547.0876 val_mae_orig=2544.0723 obj(val_mae_orig)=2544.0723
[epoch 149] train_loss=1444.4733 val_loss=2518.9717 val_mae_orig=2516.5581 obj(val_mae_orig)=2516.5581
[epoch 150] train_loss=1440.4561 val_loss=2524.3318 val_mae_orig=2521.0588 obj(val_mae_orig)=2521.0588
[epoch 151] train_loss=1437.3403 val_loss=2506.5705 val_mae_orig=2503.9023 obj(val_mae_orig)=2503.9023
[epoch 152] train_loss=1436.6433 val_loss=2493.7662 val_mae_orig=2490.6567 obj(val_mae_orig)=2490.6567
[epoch 153] train_loss=1446.4927 val_loss=2511.3093 val_mae_orig=2508.2681 obj(val_mae_orig)=2508.2681
[epoch 154] train_loss=1433.4411 val_loss=2522.5036 val_mae_orig=2520.1416 obj(val_mae_orig)=2520.1416
[epoch 155] train_loss=1430.3043 val_loss=2503.1673 val_mae_orig=2499.9714 obj(val_mae_orig)=2499.9714
